Nouns DAO Name,Treasury ,,NFT Vault,,FT Vault,,Proposal,,Voter,,Followers,,Status
"Santa Fe DAO
Creator DAO","$ 18.4K
0.18% (24H)","$ 18.4K
0.18% (24H) TreasurySanta Fe DAO
Creator DAO",N/A,"N/A NFT Vault Santa Fe DAO
Creator DAO",$ 18.4K,"$ 18.4K FT Vault Santa Fe DAO
Creator DAO",3,3 Proposal,11,11 Voter,N/A,N/A Followers,Unverifed
"TraitWorks
Creator DAO","$ 15.4K
0.18% (24H)","$ 15.4K
0.18% (24H) TreasuryTraitWorks
Creator DAO",N/A,"N/A NFT Vault TraitWorks
Creator DAO",$ 15.4K,"$ 15.4K FT Vault TraitWorks
Creator DAO",7,7 Proposal,9,9 Voter,N/A,N/A Followers,Unverifed
"PoohCrew
Creator DAO","$ 15.1K
0.17% (24H)","$ 15.1K
0.17% (24H) TreasuryPoohCrew
Creator DAO",N/A,"N/A NFT Vault PoohCrew
Creator DAO",$ 15.1K,"$ 15.1K FT Vault PoohCrew
Creator DAO",6,6 Proposal,8,8 Voter,20.9K,20.9K Followers,Unverifed
"AW3 DAO
Creator DAO","$ 11.4K
0.18% (24H)","$ 11.4K
0.18% (24H) TreasuryAW3 DAO
Creator DAO",N/A,"N/A NFT Vault AW3 DAO
Creator DAO",$ 11.4K,"$ 11.4K FT Vault AW3 DAO
Creator DAO",0,0 Proposal,0,0 Voter,N/A,N/A Followers,Unverifed
"mferbuilderDAO
Creator DAO","$ 11.4K
0.18% (24H)","$ 11.4K
0.18% (24H) TreasurymferbuilderDAO
Creator DAO",$ 4.8K,"$ 4.8K NFT Vault mferbuilderDAO
Creator DAO",$ 6.6K,"$ 6.6K FT Vault mferbuilderDAO
Creator DAO",19,19 Proposal,37,37 Voter,527,527 Followers,Unverifed
"Public Assembly
Creator DAO","$ 9.9K
0.13% (24H)","$ 9.9K
0.13% (24H) TreasuryPublic Assembly
Creator DAO",N/A,"N/A NFT Vault Public Assembly
Creator DAO",$ 9.9K,"$ 9.9K FT Vault Public Assembly
Creator DAO",16,16 Proposal,20,20 Voter,853,853 Followers,Unverifed
"TOAD
Creator DAO","$ 8.0K
0.18% (24H)","$ 8.0K
0.18% (24H) TreasuryTOAD
Creator DAO",$ 6.9K,"$ 6.9K NFT Vault TOAD
Creator DAO",$ 1.0K,"$ 1.0K FT Vault TOAD
Creator DAO",4,4 Proposal,4,4 Voter,N/A,N/A Followers,Unverifed
"Noggles dao
Infrastructure","$ 6.8K
0.18% (24H)","$ 6.8K
0.18% (24H) TreasuryNoggles dao
Infrastructure",N/A,"N/A NFT Vault Noggles dao
Infrastructure",$ 6.8K,"$ 6.8K FT Vault Noggles dao
Infrastructure",7,7 Proposal,12,12 Voter,163,163 Followers,Unverifed
"Portion Club
Creator DAO","$ 6.3K
0.18% (24H)","$ 6.3K
0.18% (24H) TreasuryPortion Club
Creator DAO",N/A,"N/A NFT Vault Portion Club
Creator DAO",$ 6.3K,"$ 6.3K FT Vault Portion Club
Creator DAO",6,6 Proposal,21,21 Voter,487,487 Followers,Unverifed
"FOODNOUNS DAO
Creator DAO","$ 5.2K
0.18% (24H)","$ 5.2K
0.18% (24H) TreasuryFOODNOUNS DAO
Creator DAO",N/A,"N/A NFT Vault FOODNOUNS DAO
Creator DAO",$ 5.2K,"$ 5.2K FT Vault FOODNOUNS DAO
Creator DAO",0,0 Proposal,0,0 Voter,1.3K,1.3K Followers,Verifed
"R.AV
Creator DAO","$ 5.1K
0.18% (24H)","$ 5.1K
0.18% (24H) TreasuryR.AV
Creator DAO",N/A,"N/A NFT Vault R.AV
Creator DAO",$ 5.1K,"$ 5.1K FT Vault R.AV
Creator DAO",3,3 Proposal,9,9 Voter,6.1K,6.1K Followers,Unverifed
"Name DAO
Creator DAO","$ 5.0K
0.18% (24H)","$ 5.0K
0.18% (24H) TreasuryName DAO
Creator DAO",N/A,"N/A NFT Vault Name DAO
Creator DAO",$ 5.0K,"$ 5.0K FT Vault Name DAO
Creator DAO",4,4 Proposal,3,3 Voter,N/A,N/A Followers,Unverifed
"FamilyDAO
Creator DAO","$ 4.2K
0.18% (24H)","$ 4.2K
0.18% (24H) TreasuryFamilyDAO
Creator DAO",N/A,"N/A NFT Vault FamilyDAO
Creator DAO",$ 4.2K,"$ 4.2K FT Vault FamilyDAO
Creator DAO",4,4 Proposal,4,4 Voter,95,95 Followers,Unverifed
"Lil Toadz DAO
Creator DAO","$ 3.6K
0.18% (24H)","$ 3.6K
0.18% (24H) TreasuryLil Toadz DAO
Creator DAO",N/A,"N/A NFT Vault Lil Toadz DAO
Creator DAO",$ 3.6K,"$ 3.6K FT Vault Lil Toadz DAO
Creator DAO",5,5 Proposal,20,20 Voter,1.4K,1.4K Followers,Unverifed
"Lil Goblins DAO
Collector DAO","$ 3.4K
9.40% (24H)","$ 3.4K
9.40% (24H) TreasuryLil Goblins DAO
Collector DAO",$814.90,"814.9 NFT Vault Lil Goblins DAO
Collector DAO",$ 2.6K,"$ 2.6K FT Vault Lil Goblins DAO
Collector DAO",0,0 Proposal,0,0 Voter,155,155 Followers,Verifed
"usernames.club
Creator DAO","$ 3.2K
0.18% (24H)","$ 3.2K
0.18% (24H) Treasuryusernames.club
Creator DAO",N/A,"N/A NFT Vault usernames.club
Creator DAO",$ 3.2K,"$ 3.2K FT Vault usernames.club
Creator DAO",0,0 Proposal,0,0 Voter,N/A,N/A Followers,Unverifed
"seaNouns
Creator DAO","$ 2.6K
0.18% (24H)","$ 2.6K
0.18% (24H) TreasuryseaNouns
Creator DAO",N/A,"N/A NFT Vault seaNouns
Creator DAO",$ 2.6K,"$ 2.6K FT Vault seaNouns
Creator DAO",1,1 Proposal,4,4 Voter,102,102 Followers,Unverifed
"Artiva DAO
Creator DAO","$ 2.1K
0.18% (24H)","$ 2.1K
0.18% (24H) TreasuryArtiva DAO
Creator DAO",N/A,"N/A NFT Vault Artiva DAO
Creator DAO",$ 2.1K,"$ 2.1K FT Vault Artiva DAO
Creator DAO",1,1 Proposal,1,1 Voter,3,3 Followers,Unverifed
"XNouns
Creator DAO","$ 1.6K
0.18% (24H)","$ 1.6K
0.18% (24H) TreasuryXNouns
Creator DAO",$1.00,"1 NFT Vault XNouns
Creator DAO",$ 1.6K,"$ 1.6K FT Vault XNouns
Creator DAO",3,3 Proposal,15,15 Voter,424,424 Followers,Unverifed
"EverydayDAO
Creator DAO","$ 1.6K
0.18% (24H)","$ 1.6K
0.18% (24H) TreasuryEverydayDAO
Creator DAO",N/A,"N/A NFT Vault EverydayDAO
Creator DAO",$ 1.6K,"$ 1.6K FT Vault EverydayDAO
Creator DAO",0,0 Proposal,0,0 Voter,143,143 Followers,Unverifed
"Mural DAO
Creator DAO","$ 1.5K
0.18% (24H)","$ 1.5K
0.18% (24H) TreasuryMural DAO
Creator DAO",$209.30,"209.3 NFT Vault Mural DAO
Creator DAO",$ 1.3K,"$ 1.3K FT Vault Mural DAO
Creator DAO",0,0 Proposal,0,0 Voter,N/A,N/A Followers,Unverifed
"JusttheFlamingo
Creator DAO","$ 1.2K
0.18% (24H)","$ 1.2K
0.18% (24H) TreasuryJusttheFlamingo
Creator DAO",N/A,"N/A NFT Vault JusttheFlamingo
Creator DAO",$ 1.2K,"$ 1.2K FT Vault JusttheFlamingo
Creator DAO",6,6 Proposal,14,14 Voter,179,179 Followers,Unverifed
"The Homies DAO
Creator DAO","$ 1.2K
0.18% (24H)","$ 1.2K
0.18% (24H) TreasuryThe Homies DAO
Creator DAO",N/A,"N/A NFT Vault The Homies DAO
Creator DAO",$ 1.2K,"$ 1.2K FT Vault The Homies DAO
Creator DAO",1,1 Proposal,1,1 Voter,497,497 Followers,Unverifed
"Happy Friday
Creator DAO","$ 1.2K
0.18% (24H)","$ 1.2K
0.18% (24H) TreasuryHappy Friday
Creator DAO",N/A,"N/A NFT Vault Happy Friday
Creator DAO",$ 1.2K,"$ 1.2K FT Vault Happy Friday
Creator DAO",1,1 Proposal,1,1 Voter,21,21 Followers,Unverifed
"Presiderps
Creator DAO","$ 1.2K
0.18% (24H)","$ 1.2K
0.18% (24H) TreasuryPresiderps
Creator DAO",N/A,"N/A NFT Vault Presiderps
Creator DAO",$ 1.2K,"$ 1.2K FT Vault Presiderps
Creator DAO",0,0 Proposal,0,0 Voter,11,11 Followers,Unverifed
"bitNouns
Creator DAO","$ 1.0K
0.18% (24H)","$ 1.0K
0.18% (24H) TreasurybitNouns
Creator DAO",N/A,"N/A NFT Vault bitNouns
Creator DAO",$ 1.0K,"$ 1.0K FT Vault bitNouns
Creator DAO",0,0 Proposal,0,0 Voter,N/A,N/A Followers,Unverifed
"Edu Nouns
Creator DAO","$ 815.4
0.18% (24H)","$ 815.4
0.18% (24H) TreasuryEdu Nouns
Creator DAO",N/A,"N/A NFT Vault Edu Nouns
Creator DAO",$815.40,"815.4 FT Vault Edu Nouns
Creator DAO",4,4 Proposal,3,3 Voter,225,225 Followers,Unverifed
"NounsAfrica
Creator DAO","$ 500.6
0.18% (24H)","$ 500.6
0.18% (24H) TreasuryNounsAfrica
Creator DAO",N/A,"N/A NFT Vault NounsAfrica
Creator DAO",$500.60,"500.6 FT Vault NounsAfrica
Creator DAO",0,0 Proposal,0,0 Voter,262,262 Followers,Unverifed
"Blueberry DAO
Creator DAO","$ 479.2
0.18% (24H)","$ 479.2
0.18% (24H) TreasuryBlueberry DAO
Creator DAO",N/A,"N/A NFT Vault Blueberry DAO
Creator DAO",$479.20,"479.2 FT Vault Blueberry DAO
Creator DAO",3,3 Proposal,6,6 Voter,N/A,N/A Followers,Unverifed
"Coherent
Creator DAO","$ 446.2
0.18% (24H)","$ 446.2
0.18% (24H) TreasuryCoherent
Creator DAO",N/A,"N/A NFT Vault Coherent
Creator DAO",$446.20,"446.2 FT Vault Coherent
Creator DAO",0,0 Proposal,0,0 Voter,5.7K,5.7K Followers,Unverifed
