Nouns DAO Name,Treasury ,,NFT Vault,,FT Vault,,Proposal,,Voter,,Followers,,Status
 DAO Leaderboard Name,Treasury,Treasury Treasury DAO Leaderboard Name,NFT Vault,NFT Vault NFT Vault  DAO Leaderboard Name,FT Vault,FT Vault FT Vault  DAO Leaderboard Name,Proposal,Proposal Proposal,Voter,Voter Voter,Followers,Followers Followers,Status
"Arbitrum DAO
Infrastructure","$ 4.1B
0.00% (24H)","$ 4.1B
0.00% (24H) TreasuryArbitrum DAO
Infrastructure",$106.70,"106.7 NFT Vault Arbitrum DAO
Infrastructure",$ 4.1B,"$ 4.1B FT Vault Arbitrum DAO
Infrastructure",7,7 Proposal,82.4K,82.4K Voter,797.6K,797.6K Followers,Unverifed
"BitDAO
Protocol DAO","$ 3.9B
1.40% (24H)","$ 3.9B
1.40% (24H) TreasuryBitDAO
Protocol DAO",$52.90,"52.9 NFT Vault BitDAO
Protocol DAO",$ 3.9B,"$ 3.9B FT Vault BitDAO
Protocol DAO",24,24 Proposal,9.6K,9.6K Voter,56.7K,56.7K Followers,Verifed
"Optimism
Infrastructure",$ 3.2B,"$ 3.2B TreasuryOptimism
Infrastructure",N/A,"N/A NFT Vault Optimism
Infrastructure",$ 3.2B,"$ 3.2B FT Vault Optimism
Infrastructure",93,93 Proposal,34.6K,34.6K Voter,514.0K,514.0K Followers,Unverifed
"Uniswap
Protocol DAO","$ 2.3B
1.84% (24H)","$ 2.3B
1.84% (24H) TreasuryUniswap
Protocol DAO",$180.40,"180.4 NFT Vault Uniswap
Protocol DAO",$ 2.3B,"$ 2.3B FT Vault Uniswap
Protocol DAO",119,119 Proposal,26.6K,26.6K Voter,1.1M,1.1M Followers,Unverifed
"Gnosis
Infrastructure","$ 891.3M
-0.05% (24H)","$ 891.3M
-0.05% (24H) TreasuryGnosis
Infrastructure",$334.70,"334.7 NFT Vault Gnosis
Infrastructure",$ 891.3M,"$ 891.3M FT Vault Gnosis
Infrastructure",90,90 Proposal,5.5K,5.5K Voter,119.3K,119.3K Followers,Unverifed
"Polygon
Infrastructure","$ 817.4M
0.25% (24H)","$ 817.4M
0.25% (24H) TreasuryPolygon
Infrastructure",N/A,"N/A NFT Vault Polygon
Infrastructure",$ 817.4M,"$ 817.4M FT Vault Polygon
Infrastructure",0,0 Proposal,0,0 Voter,80.3K,80.3K Followers,Unverifed
"Paragons
Infrastructure","$ 815.1M
0.18% (24H)","$ 815.1M
0.18% (24H) TreasuryParagons
Infrastructure",$ 810.2M,"$ 810.2M NFT Vault Paragons
Infrastructure",$ 4.8M,"$ 4.8M FT Vault Paragons
Infrastructure",20,20 Proposal,322,322 Voter,14.2K,14.2K Followers,Unverifed
"ENS DAO
Protocol DAO","$ 676.6M
0.45% (24H)","$ 676.6M
0.45% (24H) TreasuryENS DAO
Protocol DAO",$685.50,"685.5 NFT Vault ENS DAO
Protocol DAO",$ 676.6M,"$ 676.6M FT Vault ENS DAO
Protocol DAO",59,59 Proposal,14.4K,14.4K Voter,249.9K,249.9K Followers,Unverifed
"ApeCoin DAO
Creator DAO","$ 609.4M
-2.57% (24H)","$ 609.4M
-2.57% (24H) TreasuryApeCoin DAO
Creator DAO",N/A,"N/A NFT Vault ApeCoin DAO
Creator DAO",$ 609.4M,"$ 609.4M FT Vault ApeCoin DAO
Creator DAO",109,109 Proposal,7.9K,7.9K Voter,385.3K,385.3K Followers,Verifed
"dYdX
Infrastructure","$ 522.9M
0.22% (24H)","$ 522.9M
0.22% (24H) TreasurydYdX
Infrastructure",N/A,"N/A NFT Vault dYdX
Infrastructure",$ 522.9M,"$ 522.9M FT Vault dYdX
Infrastructure",29,29 Proposal,4.4K,4.4K Voter,204.0K,204.0K Followers,Unverifed
"Lido
Protocol DAO","$ 309.5M
-0.15% (24H)","$ 309.5M
-0.15% (24H) TreasuryLido
Protocol DAO",$267.70,"267.7 NFT Vault Lido
Protocol DAO",$ 309.5M,"$ 309.5M FT Vault Lido
Protocol DAO",157,157 Proposal,5.8K,5.8K Voter,145.8K,145.8K Followers,Unverifed
"Aragon
Infrastructure","$ 210.8M
0.30% (24H)","$ 210.8M
0.30% (24H) TreasuryAragon
Infrastructure",$ 33.8K,"$ 33.8K NFT Vault Aragon
Infrastructure",$ 210.8M,"$ 210.8M FT Vault Aragon
Infrastructure",0,0 Proposal,0,0 Voter,105.2K,105.2K Followers,Unverifed
"Stargate
Protocol DAO","$ 207.3M
-0.62% (24H)","$ 207.3M
-0.62% (24H) TreasuryStargate
Protocol DAO",N/A,"N/A NFT Vault Stargate
Protocol DAO",$ 207.3M,"$ 207.3M FT Vault Stargate
Protocol DAO",54,54 Proposal,119.4K,119.4K Voter,194.0K,194.0K Followers,Unverifed
"Frax Finance
Protocol DAO","$ 205.3M
0.67% (24H)","$ 205.3M
0.67% (24H) TreasuryFrax Finance
Protocol DAO",N/A,"N/A NFT Vault Frax Finance
Protocol DAO",$ 205.3M,"$ 205.3M FT Vault Frax Finance
Protocol DAO",322,322 Proposal,1.2K,1.2K Voter,72.7K,72.7K Followers,Unverifed
"Crypto Relief
Grant DAO","$ 202.3M
0.01% (24H)","$ 202.3M
0.01% (24H) TreasuryCrypto Relief
Grant DAO",$122.20,"122.2 NFT Vault Crypto Relief
Grant DAO",$ 202.3M,"$ 202.3M FT Vault Crypto Relief
Grant DAO",0,0 Proposal,0,0 Voter,22.8K,22.8K Followers,Unverifed
"Dexe.Network
Service DAO","$ 152.2M
-5.93% (24H)","$ 152.2M
-5.93% (24H) TreasuryDexe.Network
Service DAO",N/A,"N/A NFT Vault Dexe.Network
Service DAO",$ 152.2M,"$ 152.2M FT Vault Dexe.Network
Service DAO",0,0 Proposal,0,0 Voter,27.6K,27.6K Followers,Unverifed
"Compound
Protocol DAO","$ 150.0M
-0.18% (24H)","$ 150.0M
-0.18% (24H) TreasuryCompound
Protocol DAO",$19.40,"19.4 NFT Vault Compound
Protocol DAO",$ 150.0M,"""&"" ""&A3",120,120 Proposal,3.3K,3.3K Voter,246.7K,246.7K Followers,Unverifed
"Yield Guild Games
Guild","$ 119.2M
1.95% (24H)","$ 119.2M
1.95% (24H) TreasuryYield Guild Games
Guild",$ 1.7M,"$ 1.7M NFT Vault Yield Guild Games
Guild",$ 117.5M,"$ 117.5M FT Vault Yield Guild Games
Guild",1,1 Proposal,74,74 Voter,180.9K,180.9K Followers,Unverifed
"Curve
Protocol DAO","$ 117.6M
-1.06% (24H)","$ 117.6M
-1.06% (24H) TreasuryCurve
Protocol DAO",N/A,"N/A NFT Vault Curve
Protocol DAO",$ 117.6M,"$ 117.6M FT Vault Curve
Protocol DAO",126,126 Proposal,654,654 Voter,345.8K,345.8K Followers,Unverifed
"Radicle
Infrastructure","$ 111.4M
0.00% (24H)","$ 111.4M
0.00% (24H) TreasuryRadicle
Infrastructure",N/A,"N/A NFT Vault Radicle
Infrastructure",$ 111.4M,"$ 111.4M FT Vault Radicle
Infrastructure",32,32 Proposal,455,455 Voter,34.8K,34.8K Followers,Unverifed
"Aave
Protocol DAO","$ 100.1M
1.03% (24H)","$ 100.1M
1.03% (24H) TreasuryAave
Protocol DAO",N/A,"N/A NFT Vault Aave
Protocol DAO",$ 100.1M,"$ 100.1M FT Vault Aave
Protocol DAO",354,354 Proposal,61.2K,61.2K Voter,N/A,N/A Followers,Unverifed
"Decentraland DAO
Infrastructure","$ 89.9M
0.35% (24H)","$ 89.9M
0.35% (24H) TreasuryDecentraland DAO
Infrastructure",$ 225.8K,"$ 225.8K NFT Vault Decentraland DAO
Infrastructure",$ 89.7M,"$ 89.7M FT Vault Decentraland DAO
Infrastructure",1.9K,1.9K Proposal,7.1K,7.1K Voter,635.4K,635.4K Followers,Unverifed
"Ribbon
Protocol DAO","$ 87.6M
-0.00% (24H)","$ 87.6M
-0.00% (24H) TreasuryRibbon
Protocol DAO",$19.40,"19.4 NFT Vault Ribbon
Protocol DAO",$ 87.6M,"$ 87.6M FT Vault Ribbon
Protocol DAO",33,33 Proposal,1.5K,1.5K Voter,41.4K,41.4K Followers,Unverifed
"Maker DAO
Protocol DAO","$ 82.0M
-0.73% (24H)","$ 82.0M
-0.73% (24H) TreasuryMaker DAO
Protocol DAO",N/A,"N/A NFT Vault Maker DAO
Protocol DAO",$ 82.0M,"$ 82.0M FT Vault Maker DAO
Protocol DAO",0,0 Proposal,0,0 Voter,249.1K,249.1K Followers,Verifed
"FLAMINGO
Collector DAO","$ 79.4M
0.21% (24H)","$ 79.4M
0.21% (24H) TreasuryFLAMINGO
Collector DAO",$ 71.0M,"$ 71.0M NFT Vault FLAMINGO
Collector DAO",$ 8.5M,"$ 8.5M FT Vault FLAMINGO
Collector DAO",0,0 Proposal,0,0 Voter,49.2K,49.2K Followers,Unverifed
"DIMO
Infrastructure","$ 70.8M
-0.56% (24H)","$ 70.8M
-0.56% (24H) TreasuryDIMO
Infrastructure",$170.70,"170.7 NFT Vault DIMO
Infrastructure",$ 70.8M,"$ 70.8M FT Vault DIMO
Infrastructure",1,1 Proposal,3,3 Voter,8.3K,8.3K Followers,Unverifed
"Gitcoin
Protocol DAO","$ 70.7M
0.15% (24H)","$ 70.7M
0.15% (24H) TreasuryGitcoin
Protocol DAO",$ 98.5K,"$ 98.5K NFT Vault Gitcoin
Protocol DAO",$ 70.6M,"$ 70.6M FT Vault Gitcoin
Protocol DAO",162,162 Proposal,10.0K,10.0K Voter,177.6K,177.6K Followers,Unverifed
"Mango DAO
Protocol DAO",$ 68.6M,"$ 68.6M TreasuryMango DAO
Protocol DAO",N/A,"N/A NFT Vault Mango DAO
Protocol DAO",$ 68.6M,"$ 68.6M FT Vault Mango DAO
Protocol DAO",0,0 Proposal,0,0 Voter,73.8K,73.8K Followers,Unverifed
"Merit Circle
Guild","$ 64.4M
0.03% (24H)","$ 64.4M
0.03% (24H) TreasuryMerit Circle
Guild",$ 781.7K,"$ 781.7K NFT Vault Merit Circle
Guild",$ 63.6M,"$ 63.6M FT Vault Merit Circle
Guild",28,28 Proposal,1.0K,1.0K Voter,106.6K,106.6K Followers,Unverifed
"Synthetix
Protocol DAO","$ 62.5M
0.80% (24H)","$ 62.5M
0.80% (24H) TreasurySynthetix
Protocol DAO",$310.40,"310.4 NFT Vault Synthetix
Protocol DAO",$ 62.5M,"$ 62.5M FT Vault Synthetix
Protocol DAO",538,538 Proposal,202,202 Voter,230.9K,230.9K Followers,Unverifed
"Instadapp
Infrastructure","$ 60.6M
-0.00% (24H)","$ 60.6M
-0.00% (24H) TreasuryInstadapp
Infrastructure",N/A,"N/A NFT Vault Instadapp
Infrastructure",$ 60.6M,"$ 60.6M FT Vault Instadapp
Infrastructure",17,17 Proposal,109,109 Voter,46.5K,46.5K Followers,Unverifed
"Illuvium
Creator DAO","$ 57.5M
0.05% (24H)","$ 57.5M
0.05% (24H) TreasuryIlluvium
Creator DAO",$135.80,"135.8 NFT Vault Illuvium
Creator DAO",$ 57.5M,"$ 57.5M FT Vault Illuvium
Creator DAO",38,38 Proposal,18,18 Voter,384.1K,384.1K Followers,Unverifed
"wonderland
Protocol DAO","$ 56.9M
-0.04% (24H)","$ 56.9M
-0.04% (24H) Treasurywonderland
Protocol DAO",N/A,"N/A NFT Vault wonderland
Protocol DAO",$ 56.9M,"$ 56.9M FT Vault wonderland
Protocol DAO",84,84 Proposal,28.6K,28.6K Voter,142.7K,142.7K Followers,Unverifed
"NounsDAO
Creator DAO","$ 54.9M
-1.07% (24H)","$ 54.9M
-1.07% (24H) TreasuryNounsDAO
Creator DAO",$ 367.0K,"$ 367.0K NFT Vault NounsDAO
Creator DAO",$ 54.6M,"$ 54.6M FT Vault NounsDAO
Creator DAO",296,296 Proposal,572,572 Voter,81.1K,81.1K Followers,Unverifed
"JPEG'd DAO
Infrastructure","$ 47.5M
0.08% (24H)","$ 47.5M
0.08% (24H) TreasuryJPEG'd DAO
Infrastructure",$ 201.7K,"$ 201.7K NFT Vault JPEG'd DAO
Infrastructure",$ 47.3M,"$ 47.3M FT Vault JPEG'd DAO
Infrastructure",87,87 Proposal,877,877 Voter,32.9K,32.9K Followers,Unverifed
"Euler Finance
Protocol DAO","$ 44.2M
0.04% (24H)","$ 44.2M
0.04% (24H) TreasuryEuler Finance
Protocol DAO",N/A,"N/A NFT Vault Euler Finance
Protocol DAO",$ 44.2M,"$ 44.2M FT Vault Euler Finance
Protocol DAO",54,54 Proposal,784,784 Voter,32.2K,32.2K Followers,Unverifed
"Gelato
Infrastructure","$ 43.1M
2.30% (24H)","$ 43.1M
2.30% (24H) TreasuryGelato
Infrastructure",$115.40,"115.4 NFT Vault Gelato
Infrastructure",$ 43.1M,"$ 43.1M FT Vault Gelato
Infrastructure",9,9 Proposal,275,275 Voter,46.5K,46.5K Followers,Unverifed
"WHALE DAO
Collector DAO","$ 42.2M
1.83% (24H)","$ 42.2M
1.83% (24H) TreasuryWHALE DAO
Collector DAO",$ 41.8M,"$ 41.8M NFT Vault WHALE DAO
Collector DAO",$ 440.9K,"$ 440.9K FT Vault WHALE DAO
Collector DAO",0,0 Proposal,0,0 Voter,20.6K,20.6K Followers,Unverifed
"KeeperDAO
Protocol DAO","$ 41.5M
0.03% (24H)","$ 41.5M
0.03% (24H) TreasuryKeeperDAO
Protocol DAO",N/A,"N/A NFT Vault KeeperDAO
Protocol DAO",$ 41.5M,"$ 41.5M FT Vault KeeperDAO
Protocol DAO",44,44 Proposal,324,324 Voter,245,245 Followers,Unverifed
"SuperRare DAO
Protocol DAO","$ 38.7M
0.14% (24H)","$ 38.7M
0.14% (24H) TreasurySuperRare DAO
Protocol DAO",N/A,"N/A NFT Vault SuperRare DAO
Protocol DAO",$ 38.7M,"$ 38.7M FT Vault SuperRare DAO
Protocol DAO",16,16 Proposal,563,563 Voter,4.2K,4.2K Followers,Unverifed
"API3
Infrastructure","$ 37.0M
0.04% (24H)","$ 37.0M
0.04% (24H) TreasuryAPI3
Infrastructure",N/A,"N/A NFT Vault API3
Infrastructure",$ 37.0M,"$ 37.0M FT Vault API3
Infrastructure",0,0 Proposal,0,0 Voter,48.3K,48.3K Followers,Unverifed
"Curatedxyz
Collector DAO","$ 35.2M
0.18% (24H)","$ 35.2M
0.18% (24H) TreasuryCuratedxyz
Collector DAO",$ 35.1M,"$ 35.1M NFT Vault Curatedxyz
Collector DAO",$ 75.2K,"$ 75.2K FT Vault Curatedxyz
Collector DAO",0,0 Proposal,0,0 Voter,11.1K,11.1K Followers,Unverifed
"yearn.finance
Protocol DAO","$ 33.5M
1.23% (24H)","$ 33.5M
1.23% (24H) Treasuryyearn.finance
Protocol DAO",$ 2.7K,"$ 2.7K NFT Vault yearn.finance
Protocol DAO",$ 33.5M,"$ 33.5M FT Vault yearn.finance
Protocol DAO",16,16 Proposal,3.3K,3.3K Voter,202.3K,202.3K Followers,Verifed
"PleasrDAO
Collector DAO","$ 31.4M
0.13% (24H)","$ 31.4M
0.13% (24H) TreasuryPleasrDAO
Collector DAO",$ 6.0M,"$ 6.0M NFT Vault PleasrDAO
Collector DAO",$ 25.4M,"$ 25.4M FT Vault PleasrDAO
Collector DAO",52,52 Proposal,92,92 Voter,52.6K,52.6K Followers,Unverifed
"Aura Finance
Protocol DAO","$ 30.9M
0.44% (24H)","$ 30.9M
0.44% (24H) TreasuryAura Finance
Protocol DAO",N/A,"N/A NFT Vault Aura Finance
Protocol DAO",$ 30.9M,"$ 30.9M FT Vault Aura Finance
Protocol DAO",277,277 Proposal,677,677 Voter,23.4K,23.4K Followers,Unverifed
"Gearbox Protocol
Protocol DAO","$ 29.8M
-0.59% (24H)","$ 29.8M
-0.59% (24H) TreasuryGearbox Protocol
Protocol DAO",$56.30,"56.3 NFT Vault Gearbox Protocol
Protocol DAO",$ 29.8M,"$ 29.8M FT Vault Gearbox Protocol
Protocol DAO",66,66 Proposal,5.6K,5.6K Voter,49.6K,49.6K Followers,Unverifed
"Aavegotchi
Protocol DAO","$ 27.0M
0.35% (24H)","$ 27.0M
0.35% (24H) TreasuryAavegotchi
Protocol DAO",N/A,"N/A NFT Vault Aavegotchi
Protocol DAO",$ 27.0M,"$ 27.0M FT Vault Aavegotchi
Protocol DAO",400,400 Proposal,13.0K,13.0K Voter,101.0K,101.0K Followers,Unverifed
"Spool
Protocol DAO","$ 24.3M
0.00% (24H)","$ 24.3M
0.00% (24H) TreasurySpool
Protocol DAO",N/A,"N/A NFT Vault Spool
Protocol DAO",$ 24.3M,"$ 24.3M FT Vault Spool
Protocol DAO",38,38 Proposal,100,100 Voter,13.7K,13.7K Followers,Unverifed
"OlympusDAO
Protocol DAO","$ 23.8M
-0.01% (24H)","$ 23.8M
-0.01% (24H) TreasuryOlympusDAO
Protocol DAO",$301.20,"301.2 NFT Vault OlympusDAO
Protocol DAO",$ 23.8M,"$ 23.8M FT Vault OlympusDAO
Protocol DAO",263,263 Proposal,9.3K,9.3K Voter,141.2K,141.2K Followers,Unverifed
"Rarible
Infrastructure","$ 22.2M
0.15% (24H)","$ 22.2M
0.15% (24H) TreasuryRarible
Infrastructure",$421.00,"421 NFT Vault Rarible
Infrastructure",$ 22.2M,"$ 22.2M FT Vault Rarible
Infrastructure",133,133 Proposal,2.2K,2.2K Voter,510.2K,510.2K Followers,Unverifed
"Fingerprints DAO
Collector DAO","$ 22.2M
0.16% (24H)","$ 22.2M
0.16% (24H) TreasuryFingerprints DAO
Collector DAO",$ 15.2M,"$ 15.2M NFT Vault Fingerprints DAO
Collector DAO",$ 7.0M,"$ 7.0M FT Vault Fingerprints DAO
Collector DAO",29,29 Proposal,222,222 Voter,22.4K,22.4K Followers,Verifed
"Balancer
Protocol DAO","$ 22.0M
0.14% (24H)","$ 22.0M
0.14% (24H) TreasuryBalancer
Protocol DAO",$87.30,"87.3 NFT Vault Balancer
Protocol DAO",$ 22.0M,"$ 22.0M FT Vault Balancer
Protocol DAO",493,493 Proposal,9.1K,9.1K Voter,6.8K,6.8K Followers,Unverifed
"KlimaDAO
Infrastructure","$ 21.4M
0.34% (24H)","$ 21.4M
0.34% (24H) TreasuryKlimaDAO
Infrastructure",$5.80,"5.8 NFT Vault KlimaDAO
Infrastructure",$ 21.4M,"$ 21.4M FT Vault KlimaDAO
Infrastructure",40,40 Proposal,7.5K,7.5K Voter,69.1K,69.1K Followers,Verifed
"Rally
Infrastructure","$ 20.7M
-0.01% (24H)","$ 20.7M
-0.01% (24H) TreasuryRally
Infrastructure",N/A,"N/A NFT Vault Rally
Infrastructure",$ 20.7M,"$ 20.7M FT Vault Rally
Infrastructure",194,194 Proposal,1.6K,1.6K Voter,43.7K,43.7K Followers,Unverifed
"Threshold Network
Infrastructure","$ 18.3M
0.12% (24H)","$ 18.3M
0.12% (24H) TreasuryThreshold Network
Infrastructure",$ 1.1K,"$ 1.1K NFT Vault Threshold Network
Infrastructure",$ 18.3M,"$ 18.3M FT Vault Threshold Network
Infrastructure",55,55 Proposal,155,155 Voter,32.6K,32.6K Followers,Unverifed
"Tempus
Infrastructure","$ 16.9M
0.57% (24H)","$ 16.9M
0.57% (24H) TreasuryTempus
Infrastructure",N/A,"N/A NFT Vault Tempus
Infrastructure",$ 16.9M,"$ 16.9M FT Vault Tempus
Infrastructure",9,9 Proposal,118,118 Voter,11.4K,11.4K Followers,Unverifed
"ResearchHub
Service DAO","$ 16.3M
0.16% (24H)","$ 16.3M
0.16% (24H) TreasuryResearchHub
Service DAO",$145.50,"145.5 NFT Vault ResearchHub
Service DAO",$ 16.3M,"$ 16.3M FT Vault ResearchHub
Service DAO",14,14 Proposal,50,50 Voter,5.1K,5.1K Followers,Unverifed
"Memeland
Investment DAO","$ 15.8M
0.18% (24H)","$ 15.8M
0.18% (24H) TreasuryMemeland
Investment DAO",$ 15.5M,"$ 15.5M NFT Vault Memeland
Investment DAO",$ 279.3K,"$ 279.3K FT Vault Memeland
Investment DAO",0,0 Proposal,0,0 Voter,378.6K,378.6K Followers,Unverifed
"DXdao
Infrastructure","$ 15.5M
-0.01% (24H)","$ 15.5M
-0.01% (24H) TreasuryDXdao
Infrastructure",$ 2.1K,"$ 2.1K NFT Vault DXdao
Infrastructure",$ 15.5M,"$ 15.5M FT Vault DXdao
Infrastructure",0,0 Proposal,0,0 Voter,8.6K,8.6K Followers,Unverifed
"1inch
Protocol DAO","$ 15.2M
0.09% (24H)","$ 15.2M
0.09% (24H) Treasury1inch
Protocol DAO",N/A,"N/A NFT Vault 1inch
Protocol DAO",$ 15.2M,"$ 15.2M FT Vault 1inch
Protocol DAO",29,29 Proposal,1.2K,1.2K Voter,1.4M,1.4M Followers,Unverifed
"Metronome DAO
Protocol DAO","$ 14.4M
0.02% (24H)","$ 14.4M
0.02% (24H) TreasuryMetronome DAO
Protocol DAO",$38.80,"38.8 NFT Vault Metronome DAO
Protocol DAO",$ 14.4M,"$ 14.4M FT Vault Metronome DAO
Protocol DAO",13,13 Proposal,9,9 Voter,14.1K,14.1K Followers,Verifed
"Seed Club
Infrastructure","$ 14.3M
0.08% (24H)","$ 14.3M
0.08% (24H) TreasurySeed Club
Infrastructure",$ 29.4K,"$ 29.4K NFT Vault Seed Club
Infrastructure",$ 14.3M,"$ 14.3M FT Vault Seed Club
Infrastructure",17,17 Proposal,230,230 Voter,37.3K,37.3K Followers,Unverifed
"Squiggledao
Collector DAO","$ 14.0M
0.16% (24H)","$ 14.0M
0.16% (24H) TreasurySquiggledao
Collector DAO",$ 11.8M,"$ 11.8M NFT Vault Squiggledao
Collector DAO",$ 2.3M,"$ 2.3M FT Vault Squiggledao
Collector DAO",62,62 Proposal,318,318 Voter,11.2K,11.2K Followers,Unverifed
"GutinGaming Guild
Guild","$ 13.5M
0.99% (24H)","$ 13.5M
0.99% (24H) TreasuryGutinGaming Guild
Guild",$ 249.3K,"$ 249.3K NFT Vault GutinGaming Guild
Guild",$ 13.2M,"$ 13.2M FT Vault GutinGaming Guild
Guild",0,0 Proposal,0,0 Voter,N/A,N/A Followers,Verifed
"Ampleforth
Protocol DAO","$ 13.4M
-0.00% (24H)","$ 13.4M
-0.00% (24H) TreasuryAmpleforth
Protocol DAO",N/A,"N/A NFT Vault Ampleforth
Protocol DAO",$ 13.4M,"$ 13.4M FT Vault Ampleforth
Protocol DAO",38,38 Proposal,248,248 Voter,37.6K,37.6K Followers,Unverifed
"Sushiswap
Protocol DAO","$ 13.1M
0.13% (24H)","$ 13.1M
0.13% (24H) TreasurySushiswap
Protocol DAO",$ 11.7K,"$ 11.7K NFT Vault Sushiswap
Protocol DAO",$ 13.1M,"$ 13.1M FT Vault Sushiswap
Protocol DAO",206,206 Proposal,11.6K,11.6K Voter,267.1K,267.1K Followers,Unverifed
"Crypto Unicorns
Guild","$ 12.7M
0.09% (24H)","$ 12.7M
0.09% (24H) TreasuryCrypto Unicorns
Guild",N/A,"N/A NFT Vault Crypto Unicorns
Guild",$ 12.7M,"$ 12.7M FT Vault Crypto Unicorns
Guild",25,25 Proposal,3.0K,3.0K Voter,39.1K,39.1K Followers,Unverifed
"Gro DAO
Protocol DAO","$ 11.4M
0.04% (24H)","$ 11.4M
0.04% (24H) TreasuryGro DAO
Protocol DAO",N/A,"N/A NFT Vault Gro DAO
Protocol DAO",$ 11.4M,"$ 11.4M FT Vault Gro DAO
Protocol DAO",43,43 Proposal,542,542 Voter,11,11 Followers,Unverifed
"SSV.Network
Infrastructure","$ 11.4M
0.25% (24H)","$ 11.4M
0.25% (24H) TreasurySSV.Network
Infrastructure",$436.50,"436.5 NFT Vault SSV.Network
Infrastructure",$ 11.4M,"$ 11.4M FT Vault SSV.Network
Infrastructure",58,58 Proposal,298,298 Voter,38.4K,38.4K Followers,Unverifed
"Nation3
Infrastructure","$ 11.2M
0.00% (24H)","$ 11.2M
0.00% (24H) TreasuryNation3
Infrastructure",$19.40,"19.4 NFT Vault Nation3
Infrastructure",$ 11.2M,"$ 11.2M FT Vault Nation3
Infrastructure",47,47 Proposal,488,488 Voter,54.8K,54.8K Followers,Verifed
"Silo
Protocol DAO","$ 10.9M
-0.51% (24H)","$ 10.9M
-0.51% (24H) TreasurySilo
Protocol DAO",N/A,"N/A NFT Vault Silo
Protocol DAO",$ 10.9M,"$ 10.9M FT Vault Silo
Protocol DAO",86,86 Proposal,447,447 Voter,22.5K,22.5K Followers,Unverifed
"Nexus Mutual
Protocol DAO","$ 10.9M
0.16% (24H)","$ 10.9M
0.16% (24H) TreasuryNexus Mutual
Protocol DAO",N/A,"N/A NFT Vault Nexus Mutual
Protocol DAO",$ 10.9M,"$ 10.9M FT Vault Nexus Mutual
Protocol DAO",53,53 Proposal,200,200 Voter,N/A,N/A Followers,Unverifed
"Kyber DAO
Protocol DAO","$ 10.4M
0.87% (24H)","$ 10.4M
0.87% (24H) TreasuryKyber DAO
Protocol DAO",N/A,"N/A NFT Vault Kyber DAO
Protocol DAO",$ 10.4M,"$ 10.4M FT Vault Kyber DAO
Protocol DAO",16,16 Proposal,203,203 Voter,7.8K,7.8K Followers,Verifed
"Pangolin
Protocol DAO","$ 9.8M
0.52% (24H)","$ 9.8M
0.52% (24H) TreasuryPangolin
Protocol DAO",N/A,"N/A NFT Vault Pangolin
Protocol DAO",$ 9.8M,"$ 9.8M FT Vault Pangolin
Protocol DAO",42,42 Proposal,710,710 Voter,86.7K,86.7K Followers,Unverifed
"PartyDAO
Collector DAO","$ 9.4M
0.10% (24H)","$ 9.4M
0.10% (24H) TreasuryPartyDAO
Collector DAO",$ 270.4K,"$ 270.4K NFT Vault PartyDAO
Collector DAO",$ 9.2M,"$ 9.2M FT Vault PartyDAO
Collector DAO",13,13 Proposal,95,95 Voter,27.7K,27.7K Followers,Unverifed
"Goldfinch
Protocol DAO","$ 9.2M
-0.10% (24H)","$ 9.2M
-0.10% (24H) TreasuryGoldfinch
Protocol DAO",$ 19.4K,"$ 19.4K NFT Vault Goldfinch
Protocol DAO",$ 9.1M,"$ 9.1M FT Vault Goldfinch
Protocol DAO",54,54 Proposal,468,468 Voter,52.1K,52.1K Followers,Verifed
"Notional Finance
Protocol DAO","$ 8.4M
-0.01% (24H)","$ 8.4M
-0.01% (24H) TreasuryNotional Finance
Protocol DAO",N/A,"N/A NFT Vault Notional Finance
Protocol DAO",$ 8.4M,"$ 8.4M FT Vault Notional Finance
Protocol DAO",21,21 Proposal,155,155 Voter,13.4K,13.4K Followers,Unverifed
"dHedge
Protocol DAO","$ 8.4M
-0.02% (24H)","$ 8.4M
-0.02% (24H) TreasurydHedge
Protocol DAO",N/A,"N/A NFT Vault dHedge
Protocol DAO",$ 8.4M,"$ 8.4M FT Vault dHedge
Protocol DAO",76,76 Proposal,263,263 Voter,19.7K,19.7K Followers,Unverifed
"Tornado Cash
Protocol DAO","$ 7.9M
-0.01% (24H)","$ 7.9M
-0.01% (24H) TreasuryTornado Cash
Protocol DAO",$48.50,"48.5 NFT Vault Tornado Cash
Protocol DAO",$ 7.9M,"$ 7.9M FT Vault Tornado Cash
Protocol DAO",21,21 Proposal,412,412 Voter,64.8K,64.8K Followers,Unverifed
"Index Coop
Protocol DAO","$ 7.9M
0.02% (24H)","$ 7.9M
0.02% (24H) TreasuryIndex Coop
Protocol DAO",$582.10,"582.1 NFT Vault Index Coop
Protocol DAO",$ 7.9M,"$ 7.9M FT Vault Index Coop
Protocol DAO",859,859 Proposal,2.9K,2.9K Voter,49.8K,49.8K Followers,Unverifed
"Unlock
Protocol DAO","$ 7.6M
0.34% (24H)","$ 7.6M
0.34% (24H) TreasuryUnlock
Protocol DAO",N/A,"N/A NFT Vault Unlock
Protocol DAO",$ 7.6M,"$ 7.6M FT Vault Unlock
Protocol DAO",35,35 Proposal,114,114 Voter,15.5K,15.5K Followers,Unverifed
